concept,amount,date,category,mode
groceries,17.48,05/13/22,food,credit
groceries,84.33,05/13/22,food,credit
groceries,13.47,05/17/22,food,credit
public transit,25,05/17/22,transportation,credit
retailer,33.05,05/18/22,food,credit
groceries,30.28,05/20/22,food,credit
retailer,141.84,05/20/22,personal,credit
car maintenance,20,05/20/22,transportation,credit
car registration,167.44,05/20/22,transportation,credit
cash transfer,35,05/20/22,gifts,debit
trip expenses,436.79,05/22/22,vacation,credit
groceries,147.25,05/25/22,food,credit
trip expenses,284.7,05/25/22,vacation,credit
retailer,51.6,05/26/22,personal,credit
services,45,05/26/22,personal,credit
retailer,9.85,05/30/22,personal,credit
cash transfer,64.67,05/31/22,gifts,debit
trip expenses,754,05/31/22,vacation,credit
rent,1710.95,06/02/22,housing,debit
internet,72.31,06/02/22,utilities,credit
streaming,9.99,06/04/22,housing,credit
cell phone,62.17,06/14/22,utilities,credit
life insurance,69.78,06/11/22,insurance,debit
life insurance,95,06/04/22,insurance,debit
home insurance,20.26,06/18/22,insurance,credit
subscription,24.99,06/04/22,healthcare,credit
energy,57.57,06/28/22,utilities,debit
retailer,50.46,06/01/22,gifts,credit
groceries,104.95,06/01/22,food,credit
retailer,134.39,06/03/22,gifts,credit
services,570,06/06/22,personal,credit
cash transfer,12.6,06/04/22,personal,debit
retailer,201.02,06/13/22,personal,credit
retailer,65.18,06/14/22,personal,credit
restaurant,46.07,06/14/22,recreation,credit
retailer,315.63,06/14/22,personal,credit
groceries,21.84,06/14/22,food,credit
public transit,10,06/15/22,transportation,credit
restaurant,30.49,06/16/22,recreation,credit
restaurant,19.03,06/19/22,recreation,credit
retailer,101.11,06/17/22,personal,credit
retailer,16.78,06/18/22,personal,credit
retailer,218.76,06/20/22,housing,credit
retailer,39.66,06/22/22,housing,credit
cash transfer,33,06/23/22,gifts,debit
trip expenses,782.16,06/23/22,vacation,credit
public transit,10,06/25/22,transportation,credit
restaurant,36.91,06/25/22,recreation,credit
restaurant,27.7,06/25/22,recreation,credit
public transit,10,06/26/22,transportation,credit
cash transfer,85,06/28/22,personal,debit
public transit,7.78,06/28/22,transportation,credit
farmers market,1056,06/29/22,food,credit
groceries,61.87,06/29/22,food,credit
groceries,66.01,06/30/22,food,credit
rent,1710.95,07/02/22,housing,debit
internet,72.31,07/02/22,utilities,credit
streaming,9.99,07/04/22,housing,credit
cell phone,66.35,07/14/22,utilities,credit
life insurance,69.78,07/11/22,insurance,debit
life insurance,95,07/04/22,insurance,debit
home insurance,20.26,07/18/22,insurance,credit
subscription,24.99,07/04/22,healthcare,credit
energy,52.3,07/28/22,utilities,debit
tolls,25,07/07/22,transportation,credit
trip expenses,152.57,07/04/22,vacation,credit
groceries,156.09,07/13/22,food,credit
car maintenance,80.51,07/13/22,transportation,credit
retailer,14.87,07/13/22,personal,credit
retailer,61.72,07/15/22,personal,credit
groceries,11.2,07/15/22,food,credit
retailer,34.63,07/16/22,personal,credit
retailer,113.25,07/17/22,personal,credit
retailer,9.99,07/17/22,gifts,credit
retailer,292,07/17/22,personal,credit
retailer,26.35,07/18/22,housing,credit
retailer,18.73,07/19/22,personal,credit
retailer,30.08,07/19/22,personal,credit
retailer,46.31,07/19/22,personal,credit
groceries,119.46,07/23/22,food,credit
retailer,46.31,07/23/22,personal,credit
trip expenses,691.65,07/23/22,vacation,credit
retailer,38.72,07/26/22,transportation,credit
retailer,28.64,07/26/22,gifts,credit
groceries,21.16,07/28/22,food,credit
rent,1710.95,08/02/22,housing,debit
internet,74.2,08/02/22,utilities,credit
streaming,9.99,08/04/22,housing,credit
cell phone,81.31,08/14/22,utilities,credit
life insurance,69.78,08/11/22,insurance,debit
life insurance,95,08/04/22,insurance,debit
home insurance,20.26,08/18/22,insurance,credit
subscription,24.99,08/04/22,healthcare,credit
energy,46.99,08/26/22,utilities,debit
tolls,25,08/07/22,transportation,credit
retailer,41.04,08/01/22,personal,credit
public transit,20,08/02/22,transportation,credit
groceries,55.79,08/02/22,food,credit
trip expenses,155.22,08/02/22,vacation,credit
cash transfer,81,08/04/22,personal,debit
retailer,55.86,08/05/22,personal,credit
restaurant,69.98,08/05/22,recreation,credit
restaurant,36.48,08/05/22,recreation,credit
restaurant,37.11,08/06/22,recreation,credit
groceries,27.1,08/08/22,food,credit
retailer,6.72,08/08/22,personal,credit
restaurant,81.56,08/08/22,recreation,credit
retailer,176.73,08/08/22,personal,credit
retailer,135.6,08/09/22,personal,credit
retailer,71.86,08/11/22,personal,credit
trip expenses,451.28,08/11/22,vacation,credit
groceries,225.85,08/15/22,food,credit
retailer,125.98,08/19/22,personal,credit
public transit,10,08/23/22,transportation,credit
tolls,25,08/23/22,transportation,credit
groceries,122.88,08/23/22,food,credit
rent,1710.95,09/02/22,housing,debit
internet,74.2,09/02/22,utilities,credit
streaming,9.99,09/04/22,housing,credit
life insurance,69.78,09/11/22,insurance,debit
life insurance,95,09/04/22,insurance,debit
home insurance,20.26,09/18/22,insurance,credit
subscription,24.99,09/04/22,healthcare,credit
energy,50.85,09/28/22,utilities,debit
groceries,108.79,09/01/22,food,credit
groceries,157.07,09/10/22,food,credit
groceries,6.99,09/12/22,food,credit
retailer,33.05,09/11/22,housing,credit
groceries,84.27,09/17/22,food,credit
public transit,10.00,09/26/22,transportation,credit
restaurant,57.51,09/26/22,recreation,credit
groceries,20.16,09/27/22,food,credit
rent,1710.95,10/02/22,housing,debit
internet,73.8,10/02/22,utilities,credit
streaming,9.99,10/04/22,housing,credit
cell phone,56.33,10/14/22,utilities,credit
life insurance,69.78,10/11/22,insurance,debit
life insurance,95,10/04/22,insurance,debit
home insurance,20.26,10/18/22,insurance,credit
subscription,24.99,10/04/22,healthcare,credit
energy,25.89,10/27/22,utilities,debit
groceries,168.28,10/01/22,food,credit
retailer,3.98,10/02/22,gifts,credit
public transit,10,10/04/22,transportation,credit
groceries,20.96,10/05/22,food,credit
public transit,8.01,10/06/22,transportation,credit
public transit,10,10/06/22,transportation,credit
restaurant,5.24,10/07/22,recreation,credit
restaurant,9.25,10/07/22,recreation,credit
public transit,10,10/07/22,transportation,credit
restaurant,19.13,10/11/22,recreation,credit
groceries,24.4,10/11/22,food,credit
retailer,91.76,10/12/22,housing,credit
trip expenses,57.86,10/12/22,food,credit
groceries,134.8,10/15/22,food,credit
retailer,19.82,10/15/22,housing,credit
cash transfer,500,10/21/22,vacation,debit
groceries,116.58,10/22/22,food,credit
public transit,10,10/24/22,transportation,credit
farmers market,40.5,10/25/22,food,credit
retailer,0.99,10/25/22,gifts,credit
public transit,10,10/26/22,transportation,credit
retailer,138.92,10/26/22,personal,credit
retailer,27.18,10/27/22,gifts,credit
groceries,286.17,10/29/22,food,credit
groceries,13.01,10/29/22,food,credit
parking,4.35,10/30/22,transportation,credit
retailer,13,10/30/22,personal,credit
rent,1710.95,11/02/22,housing,debit
internet,73.8,11/02/22,utilities,credit
streaming,9.99,11/04/22,housing,credit
cell phone,93.9,11/14/22,utilities,credit
life insurance,69.78,11/11/22,insurance,debit
life insurance,95,11/04/22,insurance,debit
home insurance,20.26,11/18/22,insurance,credit
subscription,24.99,11/04/22,healthcare,credit
energy,52.24,11/27/22,utilities,debit
public transit,3.79,11/03/22,transportation,credit
public transit,20,11/03/22,transportation,credit
restaurant,6.19,11/03/22,recreation,credit
groceries,24.68,11/03/22,food,credit
retailer,41.4,11/03/22,healthcare,credit
retailer,48,11/03/22,personal,credit
retailer,229.8,11/03/22,housing,credit
groceries,72.37,11/05/22,food,credit
fitness,53.33,11/06/22,healthcare,credit
retailer,22.49,11/06/22,personal,credit
retailer,33.08,11/10/22,transportation,credit
groceries,26.72,11/10/22,food,credit
retailer,90.25,11/11/22,food,credit
groceries,48.51,11/11/22,personal,credit
restaurant,134.39,11/11/22,recreation,credit
retailer,30.8,11/12/22,personal,credit
restaurant,15.62,11/14/22,recreation,credit
groceries,30.99,11/15/22,food,credit
public transit,10,11/17/22,transportation,credit
retailer,342.4,11/17/22,utilities,credit
retailer,24.6,11/17/22,utilities,credit
groceries,19.49,11/18/22,food,credit
groceries,18.66,11/18/22,food,credit
retailer,47.37,11/18/22,personal,credit
gas station,58.4,11/18/22,transportation,credit
cash transfer,107,11/19/22,food,debit
groceries,135.44,11/19/22,food,credit
retailer,24.24,11/23/22,healthcare,credit
retailer,36.36,11/25/22,personal,credit
retailer,11.03,11/25/22,personal,credit
retailer,206.25,11/26/22,personal,credit
retailer,8.99,11/27/22,gifts,credit
retailer,65.6,11/26/22,personal,credit
retailer,42.87,11/28/22,personal,credit
retailer,33.06,11/29/22,personal,credit
retailer,131.49,11/29/22,personal,credit
rent,1710.95,12/02/22,housing,debit
internet,73.8,12/02/22,utilities,credit
streaming,9.99,12/04/22,housing,credit
cell phone,79,12/14/22,utilities,credit
life insurance,69.78,12/11/22,insurance,debit
life insurance,95,12/04/22,insurance,debit
home insurance,20.26,12/18/22,insurance,credit
subscription,24.99,12/04/22,healthcare,credit
fitness,64,12/01/22,healthcare,credit
energy,108.87,12/27/22,utilities,debit
retailer,5.99,12/03/22,gifts,credit
parking,2.35,12/03/22,transportation,credit
restaurant,45,12/03/22,recreation,credit
retailer,83.79,12/03/22,personal,credit
restaurant,18.93,12/05/22,recreation,credit
retailer,0.99,12/06/22,gifts,credit
retailer,41.5,12/08/22,gifts,credit
retailer,181.88,12/14/22,gifts,credit
restaurant,21.28,12/14/22,recreation,credit
trip expenses,1180,12/17/22,vacation,credit
retailer,113.53,12/27/22,gifts,credit
tolls,25,12/30/22,transportation,credit
